Gain,ATIME_Register,Time_ms,Clear,Red,Green,Blue
16x,75,434.4,17423,5204,6496,5600
16x,70,446.4,17925,5354,6683,5761
16x,65,458.4,18886,5643,7042,6071
16x,60,470.4,18904,5647,7048,6077
16x,55,482.4,19360,5786,7219,6224
16x,50,494.4,19903,5946,7421,6398
16x,45,506.4,20878,6239,7786,6712
16x,40,518.4,20877,6239,7785,6711
16x,35,530.4,21351,6381,7962,6865
16x,30,542.4,21898,6543,8166,7039
16x,25,554.4,22853,6830,8522,7347
16x,20,566.4,22849,6828,8520,7346
16x,15,578.4,23357,6980,8710,7509
16x,10,590.4,23811,7117,8880,7656
16x,5,602.4,24299,7263,9061,7813
16x,0,614.4,25341,7571,9449,8147
60x,255,2.4,25341,7571,9449,8147
60x,250,14.399999999999999,25341,7571,9449,8147
60x,245,26.4,65535,24906,1531,1313
60x,240,38.4,5987,1796,2244,1923
60x,235,50.4,7901,2369,2926,2509
60x,230,62.4,9763,2928,3658,3136
60x,225,74.39999999999999,11547,3466,4313,3699
60x,220,86.39999999999999,13435,4032,5037,4318
60x,215,98.39999999999999,15332,4600,5748,4927
60x,210,110.39999999999999,17280,5169,6457,5535
60x,205,122.39999999999999,19197,5757,7194,6166
60x,200,134.4,21000,6299,7868,6744
60x,195,146.4,22822,6848,8554,7333
60x,190,158.4,22848,6855,8561,7935
60x,185,170.4,24748,7424,9272,7949
60x,180,182.4,28412,8527,10647,9128
60x,175,194.4,30319,9098,11360,9739
60x,170,206.4,30319,9098,11362,9741
60x,165,218.4,34189,10253,12807,10978
60x,160,230.39999999999998,34089,10228,12773,10950
60x,155,242.39999999999998,37792,11339,14160,12141
60x,150,254.39999999999998,37816,11344,14170,12733
60x,145,266.4,39727,11920,14889,12762
60x,140,278.4,41432,12435,15529,13313
60x,135,290.4,45317,13596,16981,14557
60x,130,302.4,45288,13588,16974,14552
60x,125,314.4,48954,14691,18348,15728
60x,120,326.4,49168,14745,18421,15791
60x,115,338.4,50868,15263,19061,16944
60x,110,350.4,52750,15827,19766,16943
60x,105,362.4,54685,16405,20490,17564
60x,100,374.4,58429,17527,21895,18766
60x,95,386.4,58552,17561,21938,18804
60x,90,398.4,60328,18098,22603,19375
60x,85,410.4,64031,19217,23998,20572
60x,80,422.4,64106,19233,24017,20591
60x,75,434.4,65535,19773,24691,21165
60x,70,446.4,65535,20318,25370,21750
60x,65,458.4,65535,21471,26816,22986
60x,60,470.4,65535,21460,26800,22970
60x,55,482.4,65535,22057,27545,23610
60x,50,494.4,65535,22602,28223,24196
60x,45,506.4,65535,23710,29613,25382
60x,40,518.4,65535,23716,29620,25390
60x,35,530.4,65535,24287,30339,26004
60x,30,542.4,65535,24846,31035,26601
60x,25,554.4,65535,25952,32410,27786
60x,20,566.4,65535,25956,32423,27790
60x,15,578.4,65535,26528,33139,28404
60x,10,590.4,65535,27038,33772,28951
60x,5,602.4,65535,27625,34503,29580
60x,0,614.4,65535,28775,35935,30807
